10,164,99.9,14.788937278214824,7.367843985861808,22.036449918260416,69.1
15,164,99.9,26.94358193832178,15.975241260567344,38.2492919324441,87.7
20,164,99.9,40.662569879929386,28.45259324736499,53.837777164366656,97.7
25,164,99.9,57.27699412384234,43.04158977082515,71.51677984920738,99.8
30,164,99.9,74.03213481565787,59.45029436428385,88.51057940532682,99.9
35,164,99.9,92.55328709370559,80.54645598304478,105.43111562938685,99.9
40,164,99.9,113.35034830536941,107.89027991436484,118.90291470355132,99.9
41,164,99.9,117.55435950667409,117.55435950667412,117.55435950667412,99.9
10,164,19.7,14.527503104268904,7.35666364597431,22.13707297724792,55.4
15,164,23.4,26.747209603307002,15.966112551275591,37.98455936298326,82.0
20,164,26.5,41.03213536223635,28.136365481348154,54.07494798887928,94.5
25,164,37.2,56.29610465700718,42.482975413687775,71.3541452895345,99.5
30,164,42.7,74.32328701715954,59.25664519697347,88.76232332283031,99.9
35,164,57.5,92.72030802850347,79.96079396447094,104.46895659887267,99.9
40,164,87.3,113.58889579756364,107.89027991436484,118.90291470355132,99.9
41,164,99.9,117.55435950667409,117.55435950667412,117.55435950667412,99.9
